ipr,Apple LiveType animation file
m1s,MPEG-1 system stream file
mpgx,MPEG video file
ssw,Sealed flash file
vs2,Corel VideoStudio 2 file
263,H.263 encoded video file
mpg2,MPEG-2 video file
dtcp-ip,Microsoft Windows Movie Maker video
tvv,TV NOW Portable Video Recorder video format
scm,Lotus ScreenCam movie file
dof,DOSBox capture movie file
xtodvd,ConvertXtoDVD project
mvf,Production Studio Video file
htd,HyperTRANSCRIBE project
3gp2,3GPP2 multimedia file
bay,Kodak/Roper Bayer picture sequence file
nde,Surveillance video file format file
dvdmedia,RipIt DVD backup file
dmb,Digital multimedia broadcasting file
mvw,m-View stream file
TriDefMovie,TriDef movie
tv,Samsung digital TV receiver video file
c2r,Microsoft Windows Media Center click-to-record file
sec,Sony PlayStation PSP GuinXell SecPlayer video file
dmv,MPEG-1 file
ty,TiVo video stream file
qtc,Apple QuickTime support file
tix,DivX video download activation file
dpd,Dish Network DVD recorder file
pxv,Pixbend media file
svd,Video CD file
mv1,Video file
m4e,MPEG-4 video file
tpd,JVC Cyberlink TOD video file
trn,NSME Trains screensaver file
mjp,VTech MJP Video file
imovieproject,iMovie project
nxv,NXV video file
dif,DVCPRO or DV video file
zeg,ZeroG subtitles file
xas,Sony Playstation video file
dvx,DivX movie
sce,Hypervideo file
bs4,Mikogo session video recording file
tmf,TM player file
dc8,Video file
mfv,Ubuntu video file
am2,AutoPlay Menu Studio ver.2 data file
biz,ShowBiz project file
tstream,SwarmPlayer video stream control file
flic,Autodesk Animator animation file
l32,Swift line 21 caption file
rf,RealFlash clip
vcd,Video CD file
box,Kodicom video file
scm,Super Chain media file
vgx,VGuard H.264 video file
32,Swift open caption file
rpl,Escape Replay compressed video file
mhg,Multimedia file
svcd,SVCD video
thp,Nintendo GameCube THP video file
cin,Quake 2 cinematic video file
ctd,Simpsons Cartoon Studio export file
px,Photodex Producer streaming video
qmx,Quantum Streaming video file
vmm,Microsoft 3D Movie Maker video file
fli_,Autodesk Animator FLIC animation old format
qvt,Quantum Streaming video stream url file
flh,Flash Video High Definition file
grasp,Graphical System for Presentation animation file
jts,JVC Cyberlink AVCHD video file
261,H.261 Encoded Video file
h263+,H.263+ (H.263v2) video format
rec_part2,Walker File format video file
mxm,Magix file
h.263,H.263 encoded video file
mpv2,MPEG II video file
sbst,Adobe Soundbooth score template
xlmv,Thunder Mall video file
ctd,Sony Click to DVD project
mv2,MPC-HC mpeg file
bvz,BAMZOOKi video file
qtvr,QuickTime VR file format
ogx,Ogg Vorbis multiplex profile
jtv,JRiver Media Center recorded TV file
lza,LZA video file
trt,Free-to-air video file
h4v,H.264 / MPEG-4 AVC
vdf,ViewCave video file
vg2,Media Player Classic video file
pmp,PMP video file
mpj,Video Edit Magic project
sky,ActiveSky movie clips for Palm OS
s2e,SWF to EXE Converter project file
wot,WebEx saved meeting movie file
vprj,VideoReDo project file
cpvc,Adobe Captivate video composition
met,Active Sky export file
siv,Silicon Imaging video file
badongo,Badongo information service file
vp9,VP9 video codec file
wpe,openCanvas record file
rts,Apple QuickTime real-time streaming protocol file
sfvidcap,Sony Vegas video capture file
rvid,Snapz Pro X video file
4xm,4XM video format
mrd,Verint Camera System format
crv,IPcam video format
wsa,WebSynth media file
imovietrailer,Apple iMovie file
m4u,MPEG-4 playlist file
nuv,MythTV NuppelVideo video file
snapfireshow,Corel Snapfire show file
mpv4,MPEG-4 video file format
xwmv,Microsoft Windows media file
sec,Disney Animation Studio secured animation file
d2v,DGIndex project file
snd,Sega FILM/CPK file format
vfw,Video for Windows
uvseg,UVScreenCamera segments file
camv,Camtasia screencast video file
bmk,PowerDVD MovieMark bookmark file
vp7,TrueMotion VP7 video file
qcif,QCIF RAW video format
dif,Digital Interface Format
ivu,ImmerVision XML user interface file
fr,Finalburn Alpha movie capture file
mfp,Mjpeg video file
ask,ALShow Media Player skin file
avb,Avid binary image
m21,MPEG-21 video file
vp10,VP10 video codec file
vbs,MPEG movie clip
olproj,Adobe OnLocation file
dvsd,DVMaster Pro video file
mpb,TruVideo video-only MPB stream file
jvt,JRiver recorded video file
qtm,Apple QuickTime Movie file
nvavi,Split AVI Audio video interchange format
mp,MPEG compressed movie
dmo,Demo file
gtp,MultiFS video file
vid,SymbOS VID video
buy,Movie file
avchd,HD video file
cel,Autodesk Animator FLIC file
pgmx,Pegasys video
tvs,VectorMAX streaming video file
dsy,Besta video file
splash,Splash Pro EX video file
vtf,Video2Flash file
rum,Bink video subtitle file
daproj,DivX Author project file
h-263,H.263 encoded video file
m4s,MP4Box HTML5 MP4 video segment
drt,Adobe Director shockwave export file
ccp,CaptureCAM-PRO screen recording file
dsf,Vicon CCTV video recording
smk,RAD Video Tools Smacker compressed video
fmc,MotionArtist animated clip
ircp,Adobe SpeedGrade project file
bdt3,BEEDOCS Timeline 3D timeline document file
dfv,GYYR DVMS Digital CCTV recorded video
mys,Vineyard captured video file
vcv,ViewCave video file
aut,Microcraft AUTHOR eLearning file
sbs,3D side by side movie
fre,Creative Digital Blaster digital VCR file
wsv,WebSynth media file
vcpf,Easy Video Copy & Convert project
hkm,Havok movie file
tmv,TibiaMovie Tibia movie file
fcproject,Final Cut Pro X project file
sgv,Security camera moving image
msh,Adobe Visual Communicator project file
26l,Video file
mpegps,MPEG program stream format
v,Utawarerumono video file
dmf,DemoForge demo file
rmd,RealPlayer media file
rts,RealAudio RTSL document
rtsl,RealAudio RTSL document file
mv93,Adobe Director for Mac movie file
xl,Old Amiga movie format
zrb,Smacker compressed video file
sbsc,Adobe Soundbooth score document
arcut,Adobe Prelude rough cut file
dmskm,GOM media file
ftvx,FLV Editor project file
vgq,VGuard H.264 video file
pa,Cliprex video file
npv,Pixbend Player pixbend media file
cor,WMOVIEC input file
axm,Axmedis object
vem,MM Video e-mail file
vcs,Video Clipstream video file
clk,ClickView video file
cak,FILM/CPK file format
ecf,Eventcorder file
scs,Samsung Q105 phone screen saver file
s4ud,Samsung Smart TV video
sgvx,Security camera locked moving image
pproj,Adobe Premiere Pro project
tvml,TV NOW Portable Video Recorder audio file
rvx,Real protected video file
scc,ScreenFlow screen recording
rcrec,LogMeIn PRO remote control session recording
vcp,VCOMP video compression processed file
cmrec,Camtasia for Mac record file
mjp,LG MJPEG video format
wfsp,Wondershare Fantashow project
3p2,3GPP multimedia file format
rv9,RealVideo movie file
tab,3D top and bottom movie
rcut,Webinaria recording file
fbz,BB FlashBack screen record file
tvod,Apple QuickTime movie or JPEG picture file
yog,Outerra recorded video file
scr,Atari Jaguar Cinepak film file
kava,Autopano Video Pro video
wxp,Wax project file
bdt2,BEEDOCS Timeline 3D timeline document file
db2mov,DeepDVD Movie authoring project
asdvdcrtproj,Aimersoft DVD Creator project file
wmmp,Windows Movie Maker project file
cmmtpl,Camtasia MenuMaker template file
scx,Sony GigaPocket scene information file
adr,After Dark random screen saver module file
d3v,Datel video file
fcm,FCEUX FCE-Ultra capture movie file
3ivx,3ivx video file
fmf,Atomic3D video file
orv,Oracom video file
vlab,VisionLab Studio project
rec_part3,Walker File format video file
