mg8,MultiArtist picture image
mgp,Magic Painter picture image
mgr,MGR bitmap image
mic,Micro Illustrator picture image
miff,Magick image file format
mil,Micro Illustrator uncompressed image file
mip,Corel PaintShop Pro multiple image print file
mis,AtariTools-800 missile
mitsu,Mitsubishi Printer bitmap image file
mix,Microsoft PhotoDraw image
mjpg,Motion JPEG Video
mki,MagView Japanese graphics MAKIchan bitmap file
mmr,Fuji Xerox fax image file
mng,Multiple Network Graphics
mono,Bi-level bitmap
mp,Monochrome picture TIFF/IT bitmap file
mp,Amiga multi-palette file
mpc,Magick Persistent Cache image file format
mpnt,MacPaint image format
mpo,CIPA Multi-Picture format
mpp,Atari ST multi palette picture
mpt,Multipage TIFF Editor bitmap file
mraw,Photron camera RAW image file
mrb,C++ multiple resolution bitmap graphic file
mrc,Medical Research Council file
mrf,Marks Russel Format raster image
msp,Microsoft Paint bitmap picture
mtiff,Multi-page Tiff file format
mtv,MTV Ray-Tracer image format
mvc,Sony Digital Mavica photo image file
mvm,MAGIX PhotoStory on DVD slideshow
mxi,Maxwell Render image file
ncr,NCR Image image format
ncsa,Hierarchical Data File
nd2,Nikon NIS-Elements ND2 image
ndpr,NanoZoomer Digital Pathology image format
neo,Atari NeoChrome bitmap image
ngg,Nokia Group Graphics image format
niff,NIFF Navy Image File Format file
nlm,Nokia Logo file image format
nol,Nokia Operator Logo image format
nth,ImageMagick VisualMagick JBIG file
nvg,Nokia N8 image file
oa0,B.O.U.T. Evolution texture file
oaz,NetFax Manager OAZ fax image
oda,CALS Group IV type 2 raster image file
odf,HMI Builder operator display file
oil,Open Image Library Format image format
ome,Open Microscopy Environment OME image file
oplc,Nokia logo file
ora,MyPaint Open Raster graphic file
otb,Nokia OTA bitmap file
otf,DeltaVision image file
oti,OpenDocument image template file
ozj,Mu Online graphic file
p2,Pict2 picture image
p4i,Commodore 16 picture image
p7,XV Visual Schnauzer bitmap format
pac,Kodak Photo-CD multi-resolution image
paint,Apple Macintosh MacPaint bitmap file
pam,Portable arbitrary map
pamp,PowerAMP album art
pan,SmoothMove Pan Viewer image file
pap,PanoramaStudio project file
pattern,PhotoLine 5 Default file
pbf,Portable bitmap format file
pbm,Xlib bitmap graphics file
pbm,Portable bitmap picture
pbmb,Portable bitmap image format
pbmv,Portable bitmap file
pbt,Micro Dynamics MARS image format
pbw,Photobucket slideshow file
pc1,Atari Degas image
pc2,Atari Degas image
pc3,Atari Degas bitmap image
pcc,ZSoft PC Paintbrush format
pcs,PhotoChrome picture image
pct,Picture file
pct,Apple Macintosh QuickDraw/PICT bitmap graphics format
pcx,Paintbrush bitmap image
pcx_,Paintbrush bitmap graphics file
pd,Male Normal CT image format
pdb,MonkeyCard image format file
pdd,Corel PaintShop Photo Pro bitmap graphics file
pdn,Paint.NET picture format
pen,Logitech io2 drawing
pet,Macintosh PICT image file
pfi,Panorama Factory bitmap image file
pfi,PhotoFiltre Studio image file
pfn,Portable Bitmap file
pg,Image PrintFox / PageFox
pgal,My Pictures 3D Album gallery file
pgm,Portable graymap file format
pgma,ASCII Portable Gray Map format
pgmb,Binary PGM file
pgn,Picatinny Arsenal Electronic formstore file
pgx,Portable graphics format file
phd,PhotoDirector project
pi,Bitmap image
pi[1-6],Degas Elite image format
pi1,Atari Degas bitmap image
pi2,Portrait Innovations high resolution image file
pi2,Atari DEGAS picture image
pi3,Atari Degas image
pi4,Atari Degas image file
pi5,Atari Degas image file
pi6,Atari Degas image file
pi9,Fuckpaint picture mage
pic,Picture image
picio,PIXAR picture file
picnc,Houdini 3D compositing image file
picon,Personal icon file
pict,Bitmap graphics file format
pict1,Apple QuickDraw picture file
pict2,Apple Macintosh QuickDraw/PICT bitmap graphics format
pictclipping,Picture Clipping file
pictor,PCPaint image file
pip,Compressed bitmap picture file
pix,Bitmap image file
pixar,PIXAR image
pixelpaint,PixelPaint Professional image file
pj,HP PaintJet PCL bitmap image file
pjg,packJPG lossless JPEG compression file
pjpeg,JPEG image
pjpeg,Microsoft Rights Management protected JPEG file
pjpg,Microsoft Rights Management protected JPG file
pl4,Atari ST picture image
pla,AtariTools-800 player
plm,Atari picture image
plt,BioWare Infinity game engine bitmap graphic file
pm,X Window PixelMap bitmap graphics file
pm,OS/2 Presentation Manager bitmap graphics file
pmb,Polar Uplink Tool bitmap file
pmd,PMG Designer picture image
png,Portable Network Graphic
png,Adobe Fireworks proprietary PNG file
png-large,TweetDeck png image
png24,Portable Network Graphics
png32,Portable Network Graphics file
png8,8bit Portable Network Graphics file
pngt,Apple Macintosh Paint image
pnl,Applied Precision CellWorX picture image file
pnm,Portable anymap bitmap graphic
pnt,Apple MacPaint format graphic file
pntg,Apple Macintosh MacPaint bitmap graphics
pop,Samsung Popcon animation
pp4,Micrografix Picture Publisher bitmap graphics file
pp5,Micrografx Picture Publisher 5 bitmap file
ppm,Portable pixelmap graphic
pps,Corel PaintShop Photo Pro image file
pr,Sun icon file
prf,Fastgraph bitmap graphics
prn,Calcomp Raster graphics file
prv,E-on Vue preview picture file
psd,Adobe Photoshop graphics file
psdx,Adobe Photoshop Touch graphics file
pse,Adobe Photoshop Elements project file
pse,IBM Printer Page Segment bitmap graphics
pseg,IBM printer page segment bitmap file
psp,Corel PaintShop Photo Pro image file
pspimage,Corel Paint Shop Pro picture
ptif,Pyramid encoded TIFF bitmap graphics
ptk,Presentation Text Object Content Architecture format
puzz,X11 Puzzle bitmap graphics
pwp,Seattle FilmWorks / PhotoWorks image file
pxa,Pixia Color Painter file
pxd,Pixlr layered image file
pxn,PictureWorks PhotoEnhancer image file
pxr,Pixar picture file
pyxel,Pyxel Edit picture image
pzl,Unix Puzzle bitmap graphics
pzm,Atari picture image
pzs,MGI PhotoSuite slide show file
q0,Japanese Q0 bitmap image
qad,Corel WordPerfect Office thumbnail file
qdv,Random Dot QDV bitmap image
qmg,Samsung theme picture image - qmage file format
qrt,Qrt Ray-Tracer ray-traced bitmap image
qs4,Sinclair QL hires screen
qtk,Apple QuickTake picture
qtl,YUV SECAM or PAL image
r3d,DeltaVision image file
rap,Vidig Paint picture image
ras,Sun raster bitmap
rast,Sun raster bitmap image file
raw,Digital camera photo RAW image format
raw,ISIS RAW file format file
raw,Adobe Photoshop RAW file
raw,XL-Paint MAX picture image
rawraw,SageThumbs raw image
rdb,Wavelet image recording file
rdi,Device independent bitmap file
rf,Sun bitmap image
rg,Bitmap file
rgb,ColorViewSquash picture image
rgb,SGI RGB bitmap file
rgb8,TurboSilver bitmap image
rgba,Silicon Graphics Image File Format
rgbn,TurboSilver bitmap image
